"Grant Number","Actuals 2019-20","Budget Estimates 2020-21","Revised Estimates 2020-21","Budget Estimates 2021-22"
"Grant No. 1 - State Legislature","13333.65","13911.4","14303.9","16659.58"
"Grant No. 10 - Other Fiscal Service","178.08","228.34","228.34","262.06"
"Grant No. 11 - Secretariat and Attached offices","63443.14","107547.61","122831.77","90574.2"
"Grant No. 12 - District Administration","36154.23","64494.21","65234.15","66467.57"
"Grant No. 13 - Treasury & Accounts Administration","9144.8","12937.18","12941.18","11623.95"
"Grant No. 14 - Police","411807.3","478325.65","520255.92","518187.86"
"Grant No. 15 - Jails","9802.64","11553","11641.24","10986.36"
"Grant No. 16 - Printing & Stationery","2644.36","3533.79","4691.34","4189.68"
"Grant No. 17 - Administrative and functional Buildings","22121.85","50198.61","52934.8","61641.02"
"Grant No. 18 - Fire Services","17124.16","21275.51","23635.51","20753.56"
"Grant No. 19 - Vigilance Commission & Others","29179.89","51122.4","73440.78","38334.47"
"Grant No. 2 - Council of Ministers","769.67","1482.89","1482.89","1784.35"
"Grant No. 20 - Other Administrative Services (Civil Defence & Home Guards)","24699.62","28615.74","29252.7","30421.85"
"Grant No. 21 - Guest Houses, Government Hostels","2516.07","7421.44","7423.66","5532.52"
"Grant No. 22 - Administrative Training","1190.22","3385.28","3614.83","2798.45"
"Grant No. 23 - Pension","960213.82","928322","965222","868700.13"
"Grant No. 24 - Aid Materials","0","0.93","0.93","0.9"
"Grant No. 25 - Miscellaneous General Services & others","97545.77","713916.03","728543.52","428884.03"
"Grant No. 26 - Education (Higher)","222206.08","290092","321365.01","301831.18"
"Grant No. 27 - Art & Culture","9992.65","16038.85","19323.07274","15472.17"
"Grant No. 28 - State Archives","185.4","206.57","206.57","196.82"
"Grant No. 29 - Medical & Public Health","503068.04","612787.79","844181.96","700435.01"
"Grant No. 3 - Administration of justice","43947.93","57403.19","58882.1","61125.77"
"Grant No. 30 - Water Supply & Sanitation","115935.5","268108.58","293056.93","120436.36"
"Grant No. 31 - Urban Development ,Town & Country Planning","32011.29","70102.79","78019.17","54168.19"
"Grant No. 32 - Housing Schemes","460.66","424.12","651.12","567.37"
"Grant No. 33 - Residential Buildings","529.82","572.38","572.38","223.89"
"Grant No. 34 - Urban Development -Municipal Administration","51776.51","104970.27","150455.95","142881.9"
"Grant No. 35 - Information and Publicity","6105.45","9385.28","9907.78","11781.72"
"Grant No. 36 - Labour and Employment","19236.26","25437.9","27736.49","27463.24"
"Grant No. 37 - Food Storage & Warehousing","84214.59","120684.51","136634.78","89461.53"
