"Grant Number","Actuals 2018-19","Budget Estimates 2019-20","Revised Estimates 2019-20","Budget Estimates 2020-21"
"Grant No. 1 - State Legislature","102.02","154.98","170.54","139.11"
"Grant No. 10 - Other Fiscal Service","2.07","3.44","3.44","2.28"
"Grant No. 11 - Secretariat and Attached offices","786.04","1191.31","1202.07","1075.48"
"Grant No. 12 - District Administration","360.06","628.76","635.84","644.94"
"Grant No. 13 - Treasury & Accounts Administration","95.0","160.41","160.41","129.37"
"Grant No. 14 - Police","3980.19","5832.96","5984.32","4783.26"
"Grant No. 15 - Jails","88.65","137.1","139.17","115.53"
"Grant No. 16 - Printing & Stationery","31.06","53.49","54.21","35.34"
"Grant No. 17 - Administrative and functional Buildings","200.36","390.6","457.56","501.99"
"Grant No. 18 - Fire Services","159.77","181.66","211.88","212.76"
"Grant No. 19 - Vigilance Commission & Others","381.58","395.72","1555.92","511.22"
"Grant No. 2 - Council of Ministers","6.88","12.91","14.41","14.83"
"Grant No. 20 - Other Administrative Services (Civil Defence & Home Guards)","240.01","291.91","292.04","286.16"
"Grant No. 21 - Guest Houses, Government Hostels","23.63","75.86","79.29","74.21"
"Grant No. 22 - Administrative Training","15.92","29.89","37.58","33.85"
"Grant No. 23 - Pension","8104.08","8956.31","8956.31","9283.22"
"Grant No. 24 - Aid Materials","0.0","0.01","0.01","0.01"
"Grant No. 25 - Miscellaneous General Services & others","1950.77","2368.23","2830.23","7139.16"
"Grant No. 26 - Education (Higher)","2379.36","2984.42","3294.65","2900.92"
"Grant No. 27 - Art & Culture","86.2","216.41","256.08","160.39"
"Grant No. 28 - State Archives","1.53","2.31","2.31","2.07"
"Grant No. 29 - Medical & Public Health","4365.92","6684.13","7313.61","6127.88"
"Grant No. 3 - Administration of justice","444.75","564.31","597.79","574.03"
"Grant No. 30 - Water Supply & Sanitation","1820.59","2274.04","2798.08","2681.09"
"Grant No. 31 - Urban Development ,Town & Country Planning","124.31","438.76","747.26","701.03"
"Grant No. 32 - Housing Schemes","5.4","1.6","5.01","4.24"
"Grant No. 33 - Residential Buildings","2.86","8.49","10.0","5.72"
"Grant No. 34 - Urban Development -Municipal Administration","410.96","1187.5","1635.74","1049.7"
"Grant No. 35 - Information and Publicity","57.91","75.55","88.22","93.85"
"Grant No. 36 - Labour and Employment","248.17","426.21","450.75","254.38"
"Grant No. 37 - Food Storage & Warehousing","683.35","1229.61","1318.34","1206.85"
"Grant No. 38 - Welfare of SC/ST & OBC","743.91","1290.73","1534.19","1708.21"
"Grant No. 39 - Social Security, Welfare and Nutrition","1465.67","2363.32","2759.69","2151.32"
"Grant No. 4 - Elections","194.75","160.34","171.34","279.93"
